timestamp,source,action,details
1777891285.1384857,USB_RELAY,off,relay=3;response=off 3  >
1777891291.182938,STM_PIN,low,pin=6
1777891291.1877115,POLARITY,cool,pin=6
1777891291.2931044,STM_PIN,high,pin=7
1777891291.2931044,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777891291.349454,STM_PIN,low,pin=7
1777891291.349454,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777891291.4567158,STM_PIN,high,pin=7
1777891291.4567158,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777891581.715349,STM_PIN,low,pin=7
1777891581.715349,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777891581.7717812,USB_RELAY,on,relay=3;response=relay on
1777891581.7930732,USB_RELAY,off,relay=3;response=3  >relay
1777891584.7974231,USB_RELAY,on,relay=3;response=off 3  >
1777891584.8103375,USB_RELAY,off,relay=3;response=relay on
1777891587.8155127,USB_RELAY,on,relay=3;response=3  >relay
1777891587.8267927,USB_RELAY,off,relay=3;response=off 3  >
1777891590.8302493,USB_RELAY,on,relay=3;response=relay on
1777891590.842188,USB_RELAY,off,relay=3;response=3  >relay
1777891593.8458676,USB_RELAY,on,relay=3;response=off 3  >
1777891593.8575447,USB_RELAY,off,relay=3;response=relay on
1777891596.9309604,STM_PIN,high,pin=7
1777891596.9309604,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777891635.2912238,STM_PIN,low,pin=7
1777891635.2912238,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777891638.4269412,STM_PIN,high,pin=6
1777891638.4269412,POLARITY,heat,pin=6
1777891638.462766,STM_PIN,high,pin=7
1777891638.4651895,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777891698.1286716,STM_PIN,low,pin=7
1777891698.1304386,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777891698.1894422,USB_RELAY,on,relay=3;response=3  >relay
1777891698.2004366,USB_RELAY,off,relay=3;response=off 3  >
1777891701.2041774,USB_RELAY,on,relay=3;response=relay on
1777891701.2174087,USB_RELAY,off,relay=3;response=3  >relay
