1777890123.2977118,10,V:FF1205023CED
1777890123.344042,10,T2:FF120545BA0B
1777890123.3771942,10,T3:FF120545D6B0
1777890123.3932438,10,T4:FF120545C234
1777890123.3932438,set flag1!
1777890123.4672954,10,V:FF1205023CF5
1777890123.5076365,10,T2:FF120545D33D
1777890123.5432353,10,T3:FF120545E5B8
1777890123.5690544,10,T4:FF120545D0C2
1777890123.6325064,10,V:FF1205023CF6
1777890123.682219,10,T2:FF120545BF02
1777890123.7027543,10,T3:FF120545DF0E
1777890123.7258298,10,T4:FF120545E02D
1777890123.79386,10,V:FF1205023CEE
1777890123.8469756,10,T2:FF120545B8F6
1777890123.8735757,10,T3:FF120545D5BB
1777890123.9003496,10,T4:FF120545B0A2
1777890123.9618185,10,V:FF1205023CE7
1777890124.01205,10,T2:FF120545C1C9
1777890124.040035,10,T3:FF120545F425
1777890124.065214,10,T4:FF120545D487
1777890124.1285,10,V:FF1205023CED
1777890124.1764934,10,T2:FF120545D06E
1777890124.20355,10,T3:FF120545DA62
1777890124.2317286,10,T4:FF120545BCFA
1777890124.2936225,10,V:FF1205023CDF
1777890124.3428426,10,T2:FF120545DE26
1777890124.3711064,10,T3:FF120545E766
1777890124.397457,10,T4:FF120545D28A
1777890124.4529858,10,V:FF1205023CEB
1777890124.505859,10,T2:FF120545C687
1777890124.534577,10,T3:FF120545E288
1777890124.5634851,10,T4:FF120545BA9D
1777890124.6242876,10,V:FF1205023CE3
1777890124.6679423,10,T2:FF120545B94B
1777890124.7013526,10,T3:FF120545DC93
1777890124.7264209,10,T4:FF120545D2E2
1777890124.7908602,10,V:FF1205023CEE
1777890124.831152,10,T2:FF120545D6A4
1777890124.8654628,10,T3:FF120545CF57
1777890124.8942068,10,T4:FF120545C9EE
1777890124.952221,10,V:FF1205023CE3
1777890125.0048842,10,T2:FF120545DB12
1777890125.0261905,10,T3:FF120545E73F
1777890125.0534542,10,T4:FF120545BE75
1777890125.1204333,10,V:FF1205023CE8
1777890125.170021,10,T2:FF120545CF07
1777890125.194059,10,T3:FF120545F903
1777890125.2196984,10,T4:FF120545C552
1777890125.2850153,10,V:FF1205023CDA
1777890125.335634,10,T2:FF120545CF30
1777890125.363743,10,T3:FF120545DA7A
1777890125.3880744,10,T4:FF120545DD51
1777890125.4519958,10,V:FF1205023CE6
1777890125.5016897,10,T2:FF120545CD37
1777890125.5286236,10,T3:FF120545DD48
1777890125.555647,10,T4:FF120545C40B
1777890125.6139896,10,V:FF1205023CE9
1777890125.6648479,10,T2:FF120545CE3B
1777890125.6947253,10,T3:FF120545D89A
1777890125.7205482,10,T4:FF120545BFA1
1777890125.7789829,10,V:FF1205023CE5
1777890125.833061,10,T2:FF120545C11B
1777890125.8595512,10,T3:FF120545D62A
1777890125.8846133,10,T4:FF120545D371
1777890125.9489229,10,V:FF1205023CE9
1777890125.9994092,10,T2:FF120545C895
1777890126.0252736,10,T3:FF120545E2CA
1777890126.0521746,10,T4:FF120545C44F
1777890126.1102302,10,V:FF1205023CD4
1777890126.1596625,10,T2:FF120545CD74
1777890126.1849623,10,T3:FF120545D0BD
1777890126.2181149,10,T4:FF120545C481
1777890126.2768726,10,V:FF1205023CDE
1777890126.3287494,10,T2:FF120545C7D5
1777890126.3556714,10,T3:FF120545D28B
1777890126.3836772,10,T4:FF120545CD74
1777890126.4431973,10,V:FF1205023CE2
1777890126.4931688,10,T2:FF120545BF47
1777890126.5178475,10,T3:FF120545EAC8
1777890126.543044,10,T4:FF120545CFA6
1777890126.6101348,10,V:FF1205023CD6
1777890126.6597714,10,T2:FF120545D684
1777890126.6858292,10,T3:FF120545D923
1777890126.7151945,10,T4:FF120545C542
1777890126.776358,10,V:FF1205023CDC
1777890126.8263512,10,T2:FF120545C22E
1777890126.8513434,10,T3:FF120545E4C9
1777890126.8770187,10,T4:FF120545B2D8
1777890126.9419339,10,V:FF1205023CDD
1777890126.984691,10,T2:FF120545CB76
1777890127.0179334,10,T3:FF120545E781
