timestamp,source,action,details
1778073086.3029513,STM_PIN,low,pin=7
1778073086.3029513,PELTIER_SWITCH,off,pin=7;reason=pressure_control
1778073086.310841,USB_RELAY,on,relay=3;response=relay on
1778073086.3234334,USB_RELAY,off,relay=3;response=3  >relay
1778073092.4032953,STM_PIN,low,pin=6
1778073092.4032953,POLARITY,cool,pin=6
1778073092.4283192,STM_PIN,high,pin=7
1778073092.434531,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1778073248.946223,STM_PIN,low,pin=7
1778073248.9503946,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1778073252.2535357,STM_PIN,high,pin=6
1778073252.2786775,POLARITY,heat,pin=6
1778073252.3724515,STM_PIN,high,pin=7
1778073252.3724515,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1778073324.129593,STM_PIN,low,pin=7
1778073324.1338046,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1778073324.192131,USB_RELAY,on,relay=3;response=off 3  >
1778073324.2028058,USB_RELAY,off,relay=3;response=relay on
1778073327.2049167,USB_RELAY,on,relay=3;response=3  >relay
1778073327.217806,USB_RELAY,off,relay=3;response=off 3  >
1778073330.2194426,USB_RELAY,on,relay=3;response=relay on
1778073330.2335362,USB_RELAY,off,relay=3;response=3  >relay
1778073333.2370656,USB_RELAY,on,relay=3;response=off 3  >
1778073333.2497313,USB_RELAY,off,relay=3;response=relay on
1778073336.2510433,USB_RELAY,on,relay=3;response=3  >relay
1778073336.2637494,USB_RELAY,off,relay=3;response=off 3  >
1778073342.3134804,STM_PIN,low,pin=6
1778073342.3134804,POLARITY,cool,pin=6
1778073342.4516718,STM_PIN,high,pin=7
1778073342.4516718,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1778073342.570134,STM_PIN,low,pin=7
1778073342.570134,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1778073342.6753342,STM_PIN,high,pin=7
1778073342.6753342,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1778073617.7952602,STM_PIN,low,pin=7
1778073617.7952602,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1778073617.857719,USB_RELAY,on,relay=3;response=relay on
1778073617.868622,USB_RELAY,off,relay=3;response=3  >relay
1778073620.8703551,USB_RELAY,on,relay=3;response=off 3  >
1778073620.8839145,USB_RELAY,off,relay=3;response=relay on
1778073623.8862183,USB_RELAY,on,relay=3;response=3  >relay
1778073623.8980923,USB_RELAY,off,relay=3;response=off 3  >
1778073626.9012742,USB_RELAY,on,relay=3;response=relay on
1778073626.9124365,USB_RELAY,off,relay=3;response=3  >relay
1778073630.043544,STM_PIN,high,pin=7
1778073630.043544,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1778073661.110772,STM_PIN,low,pin=7
1778073661.110772,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1778073664.2579467,STM_PIN,high,pin=6
1778073664.2579467,POLARITY,heat,pin=6
