FLUKE_time,BAR,V,V_time,T2,T2_time,T3,T3_time,T4,T4_time
0.0,63.8,,,,,,,,
0.09869694709777832,63.8,,,,,,,,
0.19147086143493652,63.8,,,,,,,,
0.2755734920501709,63.8,,,,,,,,
0.3849308490753174,63.799,,,,,,,,
0.46834540367126465,63.799,,,,,,,,
0.561995267868042,63.799,,,,,,,,
0.6596567630767822,63.799,,,,,,,,
0.7509212493896484,63.798,,,,,,,,
0.8527812957763672,63.798,,,,,,,,
0.9507384300231934,63.798,,,,,,,,
1.0258514881134033,63.798,,,,,,,,
1.140821933746338,63.799,,,,,,,,
1.2177350521087646,63.799,,,,,,,,
1.3176233768463135,63.799,,,,,,,,
1.4133100509643555,63.799,,,,,,,,
1.5093984603881836,63.799,,,,,,,,
1.603445053100586,63.799,,,,,,,,
1.6998462677001953,63.799,,,,,,,,
1.8270297050476074,63.799,,,,,,,,
1.9404325485229492,63.799,,,,,,,,
2.0166101455688477,63.799,,,,,,,,
2.116518974304199,63.799,,,,,,,,
2.1932454109191895,63.799,,,,,,,,
2.306307077407837,63.797,,,,,,,,
2.399765968322754,63.797,,,,,,,,
2.4819395542144775,63.797,,,,,,,,
2.57696795463562,63.797,,,,,,,,
2.6927223205566406,63.797,,,,,,,,
2.771852731704712,63.797,,,,,,,,
2.869062662124634,63.797,,,,,,,,
2.9621613025665283,63.797,,,,,,,,
3.058673143386841,63.795,,,,,,,,
3.156562566757202,63.795,,,,,,,,
3.2522177696228027,63.795,,,,,,,,
3.332047700881958,63.795,,,,,,,,
3.443819284439087,63.791,,,,,,,,
3.525425672531128,63.791,,,,,,,,
3.619457960128784,63.791,,,,,,,,
3.7165303230285645,63.791,,,,,,,,
3.8050992488861084,63.791,,,,,,,,
3.908557176589966,63.791,,,,,,,,
4.004580736160278,63.791,,,,,,,,
4.083284854888916,63.791,,,,,,,,
4.196293354034424,63.79,,,,,,,,
4.275841951370239,63.79,,,,,,,,
4.3723883628845215,63.79,,,,,,,,
4.468444347381592,63.79,,,,,,,,
4.563610315322876,63.79,,,,,,,,
4.65827488899231,63.79,,,,,,,,
4.7505106925964355,63.79,,,,,,,,
4.837231636047363,63.79,,,,,,,,
4.935819149017334,63.79,,,,,,,,
5.017572641372681,63.79,,,,,,,,
5.113803863525391,63.79,,,,,,,,
5.212310552597046,63.79,,,,,,,,
5.311206340789795,63.79,,,,,,,,
5.408961534500122,63.79,,,,,,,,
5.508502721786499,63.79,,,,,,,,
5.5868120193481445,63.79,,,,,,,,
5.700562477111816,63.79,,,,,,,,
5.780540704727173,63.79,,,,,,,,
5.8766703605651855,63.79,,,,,,,,
5.97237753868103,63.79,,,,,,,,
6.068360090255737,63.79,,,,,,,,
6.162611484527588,63.79,,,,,,,,
6.2589991092681885,63.79,,,,,,,,
6.3391876220703125,63.79,,,,,,,,
6.450516223907471,63.789,,,,,,,,
6.527881860733032,63.789,,,,,,,,
6.624951124191284,63.789,,,,,,,,
6.720662355422974,63.789,,,,,,,,
6.817060947418213,63.791,,,,,,,,
6.913747072219849,63.791,,,,,,,,
7.012155532836914,63.791,,,,,,,,
7.092153072357178,63.791,,,,,,,,
7.2040321826934814,63.793,,,,,,,,
7.284304618835449,63.793,,,,,,,,
7.379368543624878,63.793,,,,,,,,
7.4717042446136475,63.793,,,,,,,,
7.575164556503296,63.794,,,,,,,,
7.661749362945557,63.794,,,,,,,,
7.756080150604248,63.794,,,,,,,,
7.838683366775513,63.794,,,,,,,,
7.953862905502319,63.794,,,,,,,,
8.035763263702393,63.794,,,,,,,,
8.131943225860596,63.794,,,,,,,,
8.227893352508545,63.794,,,,,,,,
8.339622974395752,63.795,,,,,,,,
8.420587539672852,63.795,,,,,,,,
8.503757953643799,63.795,,,,,,,,
8.593098878860474,63.795,,,,,,,,
8.701433658599854,63.794,,,,,,,,
8.799911975860596,63.794,,,,,,,,
8.883223056793213,63.794,,,,,,,,
8.974860668182373,63.794,,,,,,,,
9.090865135192871,63.794,,,,,,,,
9.170933485031128,63.794,,,,,,,,
9.267827987670898,63.794,,,,,,,,
9.34187626838684,63.794,,,,,,,,
9.459017753601074,63.794,,,,,,,,
9.554803371429443,63.794,,,,,,,,
9.634829044342041,63.794,,,,,,,,
9.729312181472778,63.794,,,,,,,,
9.842313528060913,63.795,,,,,,,,
9.921377420425415,63.795,,,,,,,,
10.018744230270386,63.795,,,,,,,,
10.095464706420898,63.795,,,,,,,,
10.20869755744934,63.796,,,,,,,,
10.30235242843628,63.796,,,,,,,,
10.384639263153076,63.796,,,,,,,,
10.482836484909058,63.796,,,,,,,,
10.591985940933228,63.796,,,,,,,,
10.674489974975586,63.796,,,,,,,,
10.770323991775513,63.796,,,,,,,,
10.844016551971436,63.796,,,,,,,,
10.961324453353882,63.797,,,,,,,,
11.0587158203125,63.797,,,,,,,,
11.133821487426758,63.797,,,,,,,,
11.23626446723938,63.797,,,,,,,,
11.335073709487915,63.795,,,,,,,,
11.426251411437988,63.795,,,,,,,,
11.51732587814331,63.795,,,,,,,,
11.609480857849121,63.795,,,,,,,,
11.710532665252686,63.793,,,,,,,,
11.80036473274231,63.793,,,,,,,,
11.904182195663452,63.793,,,,,,,,
11.985140562057495,63.793,,,,,,,,
12.093654155731201,63.793,,,,,,,,
12.17810845375061,63.793,,,,,,,,
12.272940158843994,63.793,,,,,,,,
12.354790687561035,63.793,,,,,,,,
12.468038558959961,63.791,,,,,,,,
12.55885362625122,63.791,,,,,,,,
12.641039371490479,63.791,,,,,,,,
12.738121747970581,63.791,,,,,,,,
12.85042929649353,63.791,,,,,,,,
12.926308155059814,63.791,,,,,,,,
13.026565790176392,63.791,,,,,,,,
13.117191791534424,63.791,,,,,,,,
13.21836256980896,63.791,,,,,,,,
13.310176849365234,63.791,,,,,,,,
13.408992767333984,63.791,,,,,,,,
13.489877700805664,63.791,,,,,,,,
13.601495742797852,63.791,,,,,,,,
13.682101249694824,63.791,,,,,,,,
13.77683687210083,63.791,,,,,,,,
13.873021841049194,63.791,,,,,,,,
13.970881938934326,63.789,,,,,,,,
14.066420555114746,63.789,,,,,,,,
14.1603684425354,63.789,,,,,,,,
14.24165391921997,63.789,,,,,,,,
14.3516206741333,63.788,,,,,,,,
14.430943489074707,63.788,,,,,,,,
14.529856443405151,63.788,,,,,,,,
14.627024412155151,63.788,,,,,,,,
14.72107744216919,63.788,,,,,,,,
14.81728196144104,63.788,,,,,,,,
14.905819177627563,63.788,,,,,,,,
14.992926597595215,63.788,,,,,,,,
15.105024099349976,63.792,,,,,,,,
15.184317827224731,63.792,,,,,,,,
15.278439044952393,63.792,,,,,,,,
15.377394676208496,63.792,,,,,,,,
15.473185300827026,63.792,,,,,,,,
15.562628984451294,63.792,,,,,,,,
15.659185886383057,63.792,,,,,,,,
15.742513656616211,63.792,,,,,,,,
15.85793948173523,63.793,,,,,,,,
15.936707496643066,63.793,,,,,,,,
16.028744220733643,63.793,,,,,,,,
16.128808975219727,63.793,,,,,,,,
16.217589855194092,63.793,,,,,,,,
16.31712818145752,63.793,,,,,,,,
16.416632413864136,63.793,,,,,,,,
16.49736714363098,63.793,,,,,,,,
16.61004090309143,63.793,,,,,,,,
16.68733787536621,63.793,,,,,,,,
16.77485466003418,63.793,,,,,,,,
16.88217806816101,63.793,,,,,,,,
16.97792887687683,63.793,,,,,,,,
17.0735125541687,63.793,,,,,,,,
17.167661905288696,63.793,,,,,,,,
17.2431960105896,63.793,,,,,,,,
17.35680890083313,63.793,,,,,,,,
17.434713125228882,63.793,,,,,,,,
17.533488750457764,63.793,,,,,,,,
17.628239631652832,63.793,,,,,,,,
17.72810673713684,63.793,,,,,,,,
17.82563281059265,63.793,,,,,,,,
17.921478509902954,63.793,,,,,,,,
18.000954627990723,63.793,,,,,,,,
18.113211154937744,63.795,,,,,,,,
18.192972421646118,63.795,,,,,,,,
18.285298109054565,63.795,,,,,,,,
18.38370704650879,63.795,,,,,,,,
18.479968547821045,63.793,,,,,,,,
18.575127363204956,63.793,,,,,,,,
18.668315410614014,63.793,,,,,,,,
18.753605365753174,63.793,,,,,,,,
18.86224102973938,63.791,,,,,,,,
18.94490098953247,63.791,,,,,,,,
19.039291381835938,63.791,,,,,,,,
19.135977506637573,63.791,,,,,,,,
19.23343586921692,63.791,,,,,,,,
19.328978776931763,63.791,,,,,,,,
19.424665689468384,63.791,,,,,,,,
19.50139546394348,63.791,,,,,,,,
19.614235401153564,63.789,,,,,,,,
19.693451166152954,63.789,,,,,,,,
19.792550325393677,63.789,,,,,,,,
19.884315967559814,63.789,,,,,,,,
20.00122833251953,63.789,,,,,,,,
20.06866955757141,63.789,,,,,,,,
20.17615818977356,63.789,,,,,,,,
20.25621485710144,63.789,,,,,,,,
20.360774755477905,63.789,,,,,,,,
20.44005250930786,63.789,,,,,,,,
20.54266595840454,63.789,,,,,,,,
20.639819622039795,63.789,,,,,,,,
20.755264043807983,63.788,,,,,,,,
20.832069158554077,63.788,,,,,,,,
20.926887035369873,63.788,,,,,,,,
21.00095796585083,63.788,,,,,,,,
21.118646144866943,63.786,,,,,,,,
21.210030555725098,63.786,,,,,,,,
21.293158769607544,63.786,,,,,,,,
21.392649173736572,63.786,,,,,,,,
21.500900268554688,63.784,,,,,,,,
21.584251403808594,63.784,,,,,,,,
21.6782808303833,63.784,,,,,,,,
21.760366201400757,63.784,,,,,,,,
21.872519969940186,63.784,,,,,,,,
21.967729568481445,63.784,,,,,,,,
22.045689344406128,63.784,,,,,,,,
22.14396595954895,63.784,,,,,,,,
22.250636100769043,63.784,,,,,,,,
22.33440351486206,63.784,,,,,,,,
22.429982900619507,63.784,,,,,,,,
22.51085591316223,63.784,,,,,,,,
22.624245166778564,63.783,,,,,,,,
