P,V_out,T
65.279,0.014705896377563477,21.123524879525952
65.279,0.014705896377563477,21.123524879525952
65.279,0.014705777168273926,21.123524879525952
65.279,0.014705061912536621,21.123524879525952
65.279,0.01470649242401123,21.123524879525952
65.279,0.014706611633300781,21.123524879525952
65.279,0.01470804214477539,20.782346737199138
65.279,0.01470804214477539,20.782346737199138
65.279,0.014709234237670898,20.782346737199138
65.279,0.014706969261169434,20.782346737199138
65.279,0.014705061912536621,20.782346737199138
65.279,0.014707207679748535,20.782346737199138
65.27,0.014709115028381348,20.531432804653107
65.27,0.014709949493408203,20.531432804653107
65.27,0.014709949493408203,20.531432804653107
65.27,0.014709949493408203,20.531432804653107
65.27,0.014709234237670898,20.531432804653107
65.27,0.014710426330566406,20.531432804653107
65.263,0.014711499214172363,20.439420557642414
65.263,0.014712095260620117,20.439420557642414
65.263,0.014711499214172363,20.439420557642414
65.263,0.014710783958435059,20.439420557642414
65.263,0.014710426330566406,20.439420557642414
65.263,0.014711499214172363,20.439420557642414
65.257,0.014713406562805176,20.1545401390783
65.257,0.014714360237121582,20.1545401390783
65.257,0.014714241027832031,20.1545401390783
65.257,0.014714241027832031,20.1545401390783
65.257,0.014713525772094727,20.1545401390783
65.257,0.014714837074279785,20.1545401390783
65.25,0.014715194702148438,19.88817307926997
65.25,0.014714956283569336,19.88817307926997
65.25,0.01471710205078125,19.88817307926997
65.25,0.014716506004333496,19.88817307926997
65.25,0.014717578887939453,19.88817307926997
65.25,0.014716863632202148,19.88817307926997
65.247,0.014718770980834961,19.919966337349262
65.247,0.0147172212600708,19.919966337349262
65.247,0.014719009399414062,19.919966337349262
65.247,0.014717578887939453,19.919966337349262
65.247,0.0147172212600708,19.919966337349262
65.247,0.014717698097229004,19.919966337349262
65.237,0.01472020149230957,19.503303759155017
65.237,0.014719247817993164,19.503303759155017
65.237,0.014720916748046875,19.503303759155017
65.237,0.014719963073730469,19.503303759155017
65.237,0.01472008228302002,19.503303759155017
65.237,0.014719247817993164,19.503303759155017
65.232,0.01472175121307373,19.264323247867807
65.232,0.014722108840942383,19.264323247867807
65.232,0.014722228050231934,19.264323247867807
65.232,0.014720559120178223,19.264323247867807
65.232,0.014721989631652832,19.264323247867807
65.232,0.014722466468811035,19.264323247867807
65.232,0.014723896980285645,19.264323247867807
65.228,0.01472616195678711,19.290524809026092
65.228,0.014724493026733398,19.290524809026092
65.228,0.014724254608154297,19.290524809026092
65.228,0.014722704887390137,19.290524809026092
65.228,0.01472318172454834,19.290524809026092
65.228,0.014724016189575195,19.290524809026092
65.226,0.014725327491760254,18.914014279769656
65.226,0.014726042747497559,18.914014279769656
65.226,0.014725923538208008,18.914014279769656
65.226,0.014725804328918457,18.914014279769656
65.226,0.014726519584655762,18.914014279769656
65.226,0.014726400375366211,18.914014279769656
65.223,0.014729022979736328,19.04332003243791
65.223,0.014728903770446777,19.04332003243791
65.223,0.014728188514709473,19.04332003243791
65.223,0.01472783088684082,19.04332003243791
65.223,0.014728069305419922,19.04332003243791
65.223,0.014726638793945312,19.04332003243791
65.214,0.014730215072631836,18.6462385242323
65.214,0.014729619026184082,18.6462385242323
65.214,0.01473081111907959,18.6462385242323
65.214,0.014731287956237793,18.6462385242323
65.214,0.014732003211975098,18.6462385242323
65.214,0.014731764793395996,18.6462385242323
65.213,0.014733433723449707,18.364276895474006
65.213,0.014732837677001953,18.364276895474006
65.213,0.01473391056060791,18.364276895474006
65.213,0.014733195304870605,18.364276895474006
65.213,0.014732122421264648,18.364276895474006
65.213,0.014732122421264648,18.364276895474006
65.21,0.014735937118530273,18.36528762645319
65.21,0.014734864234924316,18.36528762645319
65.21,0.014736175537109375,18.36528762645319
65.21,0.014735221862792969,18.36528762645319
65.21,0.014734983444213867,18.36528762645319
65.21,0.01473546028137207,18.36528762645319
65.203,0.014736652374267578,18.037310162301075
65.203,0.014736652374267578,18.037310162301075
65.203,0.014735817909240723,18.037310162301075
65.203,0.01473689079284668,18.037310162301075
65.203,0.014737367630004883,18.037310162301075
65.203,0.01473844051361084,18.037310162301075
65.203,0.014740467071533203,17.774678242803393
65.203,0.014739394187927246,17.774678242803393
65.203,0.014740586280822754,17.774678242803393
65.203,0.014739632606506348,17.774678242803393
65.203,0.014740347862243652,17.774678242803393
65.203,0.014739751815795898,17.774678242803393
65.196,0.014738917350769043,17.75386533583579
