P,V_out,T
55.089,0.01230764389038086,0.4128507956161602
55.089,0.012312769889831543,0.4128507956161602
55.089,0.01231372356414795,0.4128507956161602
55.089,0.012314677238464355,0.4128507956161602
55.089,0.012318015098571777,0.4128507956161602
55.089,0.012321233749389648,0.4128507956161602
55.113,0.012323141098022461,0.5114178795003255
55.113,0.012327194213867188,0.5114178795003255
55.113,0.012329578399658203,0.5114178795003255
55.113,0.012329459190368652,0.5114178795003255
55.113,0.012330889701843262,0.5114178795003255
55.113,0.01233220100402832,0.5114178795003255
55.13,0.01212167739868164,0.702003334742761
55.13,0.012116193771362305,0.702003334742761
55.13,0.012125968933105469,0.702003334742761
55.13,0.012026071548461914,0.702003334742761
55.13,0.012332916259765625,0.702003334742761
55.13,0.012104153633117676,0.702003334742761
54.246,0.0121307373046875,0.9851596375069438
54.246,0.012133479118347168,0.9851596375069438
54.246,0.012140631675720215,0.9851596375069438
54.246,0.012143373489379883,0.9851596375069438
54.351,0.012149930000305176,1.0021651080495935
54.351,0.012147784233093262,1.0021651080495935
54.351,0.012150406837463379,1.0021651080495935
54.351,0.012149333953857422,1.0021651080495935
54.351,0.012144088745117188,1.0021651080495935
54.351,0.012146949768066406,1.0021651080495935
54.367,0.012152791023254395,1.4643931062824547
54.367,0.012155532836914062,1.4643931062824547
54.367,0.012156009674072266,1.4643931062824547
54.367,0.01215517520904541,1.4643931062824547
54.367,0.012157917022705078,1.4643931062824547
54.378,0.012161850929260254,1.508218246713678
54.378,0.012163162231445312,1.508218246713678
54.39,0.012165188789367676,1.534161073194025
54.411,0.012171387672424316,1.839386095959641
54.424,0.012172937393188477,2.080946431844096
54.424,0.012172937393188477,2.080946431844096
54.428,0.01217496395111084,2.2372488851798513
54.427,0.01217508316040039,1.9788094818346171
54.427,0.01217663288116455,1.9788094818346171
54.425,0.012176990509033203,1.9113448465078968
54.425,0.012175440788269043,1.9113448465078968
54.425,0.01217496395111084,1.9113448465078968
54.426,0.012178659439086914,1.7294071830977065
54.426,0.012177348136901855,1.7294071830977065
54.426,0.01218116283416748,1.9231995609695085
54.421,0.01218414306640625,1.7191260354192919
54.421,0.012182950973510742,1.7191260354192919
54.421,0.012183308601379395,1.7191260354192919
54.421,0.012183666229248047,1.7191260354192919
54.42,0.01218724250793457,1.6484266137962762
54.42,0.012185335159301758,1.6484266137962762
54.42,0.01218569278717041,1.6484266137962762
54.415,0.012189030647277832,1.5208051207536566
54.415,0.012191176414489746,1.5208051207536566
54.413,0.012189388275146484,1.3236091691009952
54.413,0.012190580368041992,1.3236091691009952
