1777896301.9743733 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.68693
1777896302.177046 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.75677
1777896302.3789728 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.69178
1777896302.581168 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.59269
1777896302.7820637 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.57643
1777896302.9842334 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.56429
1777896303.1872227 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.55222
1777896303.3890617 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.47424
1777896303.5939596 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.43483
1777896303.7953076 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.27098
1777896303.9958496 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.19113
1777896304.198666 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.20526
1777896304.3996475 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.41021
1777896304.6013184 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.24921
1777896304.8025942 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.13564
1777896305.006294 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.99138
1777896305.208207 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.89211
1777896305.4092703 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.09311
1777896305.6114964 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.86953
