timestamp,source,action,details
1777897442.0739825,USB_RELAY,off,relay=3;response=relay on
1777897445.0781074,USB_RELAY,on,relay=3;response=3  >relay
1777897445.0898373,USB_RELAY,off,relay=3;response=off 3  >
1777897448.139429,STM_PIN,high,pin=7
1777897448.140426,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777897448.4436913,STM_PIN,low,pin=7
1777897448.4436913,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777897451.5859835,STM_PIN,low,pin=6
1777897451.5859835,POLARITY,cool,pin=6
1777897451.6380587,STM_PIN,high,pin=7
1777897451.6395857,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777897731.6344674,STM_PIN,low,pin=7
1777897731.6354647,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777897731.7017143,USB_RELAY,on,relay=3;response=relay on
1777897731.712218,USB_RELAY,off,relay=3;response=3  >relay
1777897734.713738,USB_RELAY,on,relay=3;response=off 3  >
1777897734.7264984,USB_RELAY,off,relay=3;response=relay on
1777897737.7279527,USB_RELAY,on,relay=3;response=3  >relay
1777897737.7410176,USB_RELAY,off,relay=3;response=off 3  >
1777897740.7432263,USB_RELAY,on,relay=3;response=relay on
1777897740.7567558,USB_RELAY,off,relay=3;response=3  >relay
1777897743.7589004,USB_RELAY,on,relay=3;response=off 3  >
1777897743.7704124,USB_RELAY,off,relay=3;response=relay on
1777897746.8520038,STM_PIN,high,pin=7
1777897746.8532915,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777897787.7783577,STM_PIN,low,pin=7
1777897787.7793572,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777897790.8898852,STM_PIN,high,pin=6
1777897790.895062,POLARITY,heat,pin=6
1777897790.9237072,STM_PIN,high,pin=7
1777897790.9249992,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777897851.6571538,STM_PIN,low,pin=7
1777897851.6571538,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777897851.7177792,USB_RELAY,on,relay=3;response=3  >relay
1777897851.7287734,USB_RELAY,off,relay=3;response=off 3  >
1777897854.7320251,USB_RELAY,on,relay=3;response=relay on
1777897854.7435656,USB_RELAY,off,relay=3;response=3  >relay
1777897857.7459466,USB_RELAY,on,relay=3;response=off 3  >
1777897857.7591593,USB_RELAY,off,relay=3;response=relay on
1777897860.7606554,USB_RELAY,on,relay=3;response=3  >relay
1777897860.7738311,USB_RELAY,off,relay=3;response=off 3  >
1777897863.7792246,USB_RELAY,on,relay=3;response=relay on
1777897863.7905223,USB_RELAY,off,relay=3;response=3  >relay
1777897866.7917619,USB_RELAY,on,relay=3;response=off 3  >
1777897866.80541,USB_RELAY,off,relay=3;response=relay on
1777897872.920178,STM_PIN,low,pin=6
1777897872.9211915,POLARITY,cool,pin=6
1777897872.9748545,STM_PIN,high,pin=7
1777897872.9748545,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777898169.6208303,STM_PIN,low,pin=7
1777898169.6218328,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777898169.678657,USB_RELAY,on,relay=3;response=3  >relay
1777898169.6950812,USB_RELAY,off,relay=3;response=off 3  >
1777898172.6997685,USB_RELAY,on,relay=3;response=relay on
1777898172.711434,USB_RELAY,off,relay=3;response=3  >relay
1777898175.728893,USB_RELAY,on,relay=3;response=off 3  >
1777898175.7392156,USB_RELAY,off,relay=3;response=relay on
1777898178.7417765,USB_RELAY,on,relay=3;response=3  >relay
1777898178.7535136,USB_RELAY,off,relay=3;response=off 3  >
1777898181.756334,USB_RELAY,on,relay=3;response=relay on
1777898181.7675352,USB_RELAY,off,relay=3;response=3  >relay
1777898184.7711146,USB_RELAY,on,relay=3;response=off 3  >
1777898184.7827845,USB_RELAY,off,relay=3;response=relay on
1777898187.8107579,STM_PIN,high,pin=7
1777898187.8107579,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777898227.0471392,STM_PIN,low,pin=7
1777898227.0471392,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777898230.19427,STM_PIN,high,pin=6
1777898230.1952844,POLARITY,heat,pin=6
1777898230.304863,STM_PIN,high,pin=7
1777898230.304863,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777898291.9160442,STM_PIN,low,pin=7
1777898291.9160442,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777898291.9737275,USB_RELAY,on,relay=3;response=3  >relay
1777898291.9903133,USB_RELAY,off,relay=3;response=off 3  >
1777898294.9939232,USB_RELAY,on,relay=3;response=relay on
1777898295.0061145,USB_RELAY,off,relay=3;response=3  >relay
1777898298.0080218,USB_RELAY,on,relay=3;response=off 3  >
1777898298.023248,USB_RELAY,off,relay=3;response=relay on
1777898301.0315661,USB_RELAY,on,relay=3;response=3  >relay
1777898301.0420456,USB_RELAY,off,relay=3;response=off 3  >
1777898304.043555,USB_RELAY,on,relay=3;response=relay on
1777898304.0576525,USB_RELAY,off,relay=3;response=3  >relay
1777898307.0609517,USB_RELAY,on,relay=3;response=off 3  >
1777898307.0726037,USB_RELAY,off,relay=3;response=relay on
1777898310.0790577,USB_RELAY,on,relay=3;response=3  >relay
1777898310.0904577,USB_RELAY,off,relay=3;response=off 3  >
1777898313.1915383,STM_PIN,high,pin=7
1777898313.1915383,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
